Оборудование;Узел;Номер узла;Идентификационный номер;Наименование;Тип номера;Стр.
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000001100000001;Мачта;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000000002001002;Ось;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000000001008002;Ось;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000000000006002;Планка;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900080401701603596;Винт М16х35;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900597336000101606;Шайба стопорная Ф16;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;403001611600001002;Штифт 16;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000000101372002;Опора верхняя;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900597336000002406;Шайба стопорная Ф24;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;401077962419002126;Болт М24х190;Номер заказа;6
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900485100002650026;Кабина;Номер заказа;7
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000000002005002;Амортизатор;Номер заказа;7
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000000002005012;Амортизатор;Номер заказа;7
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000000002006002;Шайба;Номер заказа;7
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000000002006012;Шайба;Номер заказа;7
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000000002007002;Амортизатор;Номер заказа;7
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900080401402415076;Болт М24х150;Номер заказа;7
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;401113712400002002;Шайба Ф24;Номер заказа;7
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;401040322400102126;Гайка М24;Номер заказа;7
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900488402800001806;Радиатор;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900847554000023626;Чехол радиатора;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900488937001610066;Воздухоочиститель;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000001700000001;Водяное пылеподавление;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000003600000001;Пылеуловитель;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000001502000001;Гидробак;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000002500000001;Гидросистема;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000003800000011;Электрооборудование;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900558858000000086;Агрегат компрессора;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;068000002300000001;Пневморазводка;Номер заказа;9
